indonesia,osing
mereka memanggil air ke pasar,wong-wong ngundang byanyu nyang pasar
anak memanggil bunga ke pasar,lare ngundang kembang nyang pasar
aku memanggil sayur ke bukit,isun ngundang jangan nyang puthuk
mereka menyapu bunga dari bukit,wong-wong nyapu kembang teko puthuk
aku memanggil pisau ke rumah,isun ngundang lading nyang umah
aku menyimpan buku,isun nyimpen buku
aku mengambil sayur,isun njuwut jangan
ibu memanggil sayur,mak ngundang jangan
bapak memukul sayur ke dapur,bapak nyampat jangan nyang pawon
anak memanggil sayur di dapur,lare ngundang jangan nong pawon
mereka memukul anak di rumah,wong-wong nyampat lare nong umah
saya mengambil anak dari bukit,isun njuwut lare teko puthuk
anak mencium pisau dari bukit,lare ngambung lading teko puthuk
anak memasak air ke sungai,lare ngolah byanyu nyang kali
dia memukul sayur,yane nyampat jangan
saya mencium kunci ke bukit,isun ngambung kunci nyang puthuk
mereka menyimpan pisang di pasar,wong-wong nyimpen gedhang nong pasar
nenek memanggil kunci dari bukit,embyah ngundang kunci teko puthuk
anak mencium sayur di dapur,lare ngambung jangan nong pawon
kamu membawa pisang,riko nggowo gedhang
nenek memanggil pisang ke sungai,embyah ngundang gedhang nyang kali
aku melihat anak di bukit,isun ndeleng lare nong puthuk
aku mencium anak ke bukit,isun ngambung lare nyang puthuk
aku mencium pisau dari sungai,isun ngambung lading teko kali
aku menyapu sayur di dapur,isun nyapu jangan nong pawon
bapak memanggil pisau ke pasar,bapak ngundang lading nyang pasar
aku mengambil sayur ke sungai,isun njuwut jangan nyang kali
mereka memanggil buku ke bukit,wong-wong ngundang buku nyang puthuk
nenek mencium air di bukit,embyah ngambung byanyu nong puthuk
bapak mencium pisau di pasar,bapak ngambung lading nong pasar
saya menyapu buku dari dapur,isun nyapu buku teko pawon
bapak membawa air,bapak nggowo byanyu
nenek menyapu nasi di bukit,embyah nyapu sego nong puthuk
aku mencium sayur ke sungai,isun ngambung jangan nyang kali
mereka mencium pisau ke dapur,wong-wong ngambung lading nyang pawon
mereka memanggil air di rumah,wong-wong ngundang byanyu nong umah
ibu memanggil pisang ke rumah,mak ngundang gedhang nyang umah
mereka mencium bunga,wong-wong ngambung kembang
kamu memukul pisau di pasar,riko nyampat lading nong pasar
anak mengambil kunci ke pasar,lare njuwut kunci nyang pasar
aku melihat air di bukit,isun ndeleng byanyu nong puthuk
nenek menyimpan anak di pasar,embyah nyimpen lare nong pasar
kamu mengambil nasi ke bukit,riko njuwut sego nyang puthuk
saya memukul nasi di bukit,isun nyampat sego nong puthuk
dia memasak pisau,yane ngolah lading
kamu mengambil kunci dari pasar,riko njuwut kunci teko pasar
nenek mengambil anak,embyah njuwut lare
bapak memukul air ke pasar,bapak nyampat byanyu nyang pasar
kamu mencium kunci di bukit,riko ngambung kunci nong puthuk
bapak memukul nasi dari rumah,bapak nyampat sego teko umah
aku melihat sayur di dapur,isun ndeleng jangan nong pawon
saya memasak buku dari sungai,isun ngolah buku teko kali
bapak memukul sayur di bukit,bapak nyampat jangan nong puthuk
mereka memanggil pisau,wong-wong ngundang lading
aku menyapu anak ke pasar,isun nyapu lare nyang pasar
aku mencium buku di sungai,isun ngambung buku nong kali
saya menyimpan pisau ke sungai,isun nyimpen lading nyang kali
dia memasak pisau,yane ngolah lading
saya melihat pisang,isun ndeleng gedhang
bapak mengambil sayur,bapak njuwut jangan
dia memanggil kunci dari dapur,yane ngundang kunci teko pawon
nenek melihat bunga dari rumah,embyah ndeleng kembang teko umah
nenek membawa nasi ke bukit,embyah nggowo sego nyang puthuk
kamu menyimpan pisau,riko nyimpen lading
bapak melihat anak ke pasar,bapak ndeleng lare nyang pasar
ibu memukul bunga di pasar,mak nyampat kembang nong pasar
ibu memukul bunga di sungai,mak nyampat kembang nong kali
anak menyapu pisang dari dapur,lare nyapu gedhang teko pawon
saya mengambil anak,isun njuwut lare
kamu memukul sayur ke sungai,riko nyampat jangan nyang kali
mereka menyimpan kunci di rumah,wong-wong nyimpen kunci nong umah
saya melihat air,isun ndeleng byanyu
anak membawa sayur ke dapur,lare nggowo jangan nyang pawon
bapak memukul pisang,bapak nyampat gedhang
kamu memukul pisau di rumah,riko nyampat lading nong umah
saya menyapu nasi dari dapur,isun nyapu sego teko pawon
aku melihat pisang di rumah,isun ndeleng gedhang nong umah
ibu mengambil nasi ke dapur,mak njuwut sego nyang pawon
mereka mengambil pisau ke bukit,wong-wong njuwut lading nyang puthuk
dia mencium pisang ke sungai,yane ngambung gedhang nyang kali
nenek mengambil pisau di pasar,embyah njuwut lading nong pasar
dia mencium pisau,yane ngambung lading
dia menyapu pisang ke pasar,yane nyapu gedhang nyang pasar
nenek memanggil kunci dari bukit,embyah ngundang kunci teko puthuk
kamu memanggil bunga di dapur,riko ngundang kembang nong pawon
bapak melihat bunga ke dapur,bapak ndeleng kembang nyang pawon
mereka menyimpan buku di pasar,wong-wong nyimpen buku nong pasar
mereka menyapu nasi ke dapur,wong-wong nyapu sego nyang pawon
ibu menyimpan kunci di sungai,mak nyimpen kunci nong kali
dia memasak pisau di dapur,yane ngolah lading nong pawon
dia menyimpan kunci ke rumah,yane nyimpen kunci nyang umah
saya mengambil nasi,isun njuwut sego
aku memasak anak di rumah,isun ngolah lare nong umah
anak memasak buku ke pasar,lare ngolah buku nyang pasar
nenek mengambil nasi di pasar,embyah njuwut sego nong pasar
aku menyapu kunci di dapur,isun nyapu kunci nong pawon
ibu mencium air,mak ngambung byanyu
dia mencium pisang ke dapur,yane ngambung gedhang nyang pawon
ibu memanggil kunci ke rumah,mak ngundang kunci nyang umah
aku mengambil nasi dari bukit,isun njuwut sego teko puthuk
ibu memanggil bunga ke sungai,mak ngundang kembang nyang kali
anak menyapu sayur,lare nyapu jangan
nenek membawa nasi di pasar,embyah nggowo sego nong pasar
ibu memanggil buku dari dapur,mak ngundang buku teko pawon
nenek menyimpan pisang di bukit,embyah nyimpen gedhang nong puthuk
bapak mencium air,bapak ngambung byanyu
aku memasak air,isun ngolah byanyu
dia memasak nasi,yane ngolah sego
bapak mencium bunga ke pasar,bapak ngambung kembang nyang pasar
saya mengambil kunci di pasar,isun njuwut kunci nong pasar
saya memasak kunci dari pasar,isun ngolah kunci teko pasar
dia mencium pisau di dapur,yane ngambung lading nong pawon
anak mencium nasi ke dapur,lare ngambung sego nyang pawon
anak memanggil kunci dari dapur,lare ngundang kunci teko pawon
kamu memasak pisau ke rumah,riko ngolah lading nyang umah
nenek memukul sayur,embyah nyampat jangan
kamu menyimpan sayur,riko nyimpen jangan
mereka memukul buku dari dapur,wong-wong nyampat buku teko pawon
anak mencium anak ke rumah,lare ngambung lare nyang umah
aku memukul kunci ke dapur,isun nyampat kunci nyang pawon
saya menyapu nasi dari pasar,isun nyapu sego teko pasar
dia menyapu kunci di dapur,yane nyapu kunci nong pawon
aku menyapu air di dapur,isun nyapu byanyu nong pawon
mereka memasak sayur ke sungai,wong-wong ngolah jangan nyang kali
aku melihat air,isun ndeleng byanyu
anak menyimpan anak dari rumah,lare nyimpen lare teko umah
saya memasak pisau di bukit,isun ngolah lading nong puthuk
nenek menyimpan buku dari dapur,embyah nyimpen buku teko pawon
dia melihat sayur dari dapur,yane ndeleng jangan teko pawon
ibu menyimpan kunci,mak nyimpen kunci
dia memukul air di bukit,yane nyampat byanyu nong puthuk
kamu menyimpan nasi di pasar,riko nyimpen sego nong pasar
bapak memukul anak,bapak nyampat lare
mereka membawa sayur di pasar,wong-wong nggowo jangan nong pasar
saya menyimpan buku di dapur,isun nyimpen buku nong pawon
dia memukul kunci,yane nyampat kunci
nenek memukul air dari rumah,embyah nyampat byanyu teko umah
dia memanggil bunga ke pasar,yane ngundang kembang nyang pasar
aku melihat bunga,isun ndeleng kembang
bapak memukul pisang dari bukit,bapak nyampat gedhang teko puthuk
aku membawa nasi ke pasar,isun nggowo sego nyang pasar
saya menyapu sayur dari bukit,isun nyapu jangan teko puthuk
saya mencium sayur di pasar,isun ngambung jangan nong pasar
bapak menyapu pisau ke pasar,bapak nyapu lading nyang pasar
nenek melihat bunga,embyah ndeleng kembang
saya memanggil kunci ke pasar,isun ngundang kunci nyang pasar
aku mencium kunci di sungai,isun ngambung kunci nong kali
aku menyimpan kunci,isun nyimpen kunci
kamu menyapu nasi di bukit,riko nyapu sego nong puthuk
anak memukul nasi,lare nyampat sego
aku memanggil nasi dari dapur,isun ngundang sego teko pawon
saya memasak buku,isun ngolah buku
saya mengambil nasi,isun njuwut sego
dia menyapu kunci ke sungai,yane nyapu kunci nyang kali
kamu menyapu air,riko nyapu byanyu
bapak memukul sayur dari bukit,bapak nyampat jangan teko puthuk
mereka memasak nasi,wong-wong ngolah sego
aku mengambil anak ke sungai,isun njuwut lare nyang kali
anak memasak pisau ke pasar,lare ngolah lading nyang pasar
anak mengambil pisau ke pasar,lare njuwut lading nyang pasar
bapak menyapu anak,bapak nyapu lare
saya memasak pisau ke sungai,isun ngolah lading nyang kali
bapak melihat bunga di rumah,bapak ndeleng kembang nong umah
saya membawa pisang dari sungai,isun nggowo gedhang teko kali
ibu memanggil pisau,mak ngundang lading
anak menyimpan nasi di dapur,lare nyimpen sego nong pawon
kamu melihat anak dari dapur,riko ndeleng lare teko pawon
ibu memukul sayur,mak nyampat jangan
bapak memasak air ke bukit,bapak ngolah byanyu nyang puthuk
saya memanggil anak dari sungai,isun ngundang lare teko kali
mereka mengambil sayur,wong-wong njuwut jangan
anak memasak pisau dari rumah,lare ngolah lading teko umah
bapak melihat bunga,bapak ndeleng kembang
dia menyapu sayur di rumah,yane nyapu jangan nong umah
aku memasak buku di dapur,isun ngolah buku nong pawon
mereka memasak nasi ke pasar,wong-wong ngolah sego nyang pasar
anak memukul pisau di sungai,lare nyampat lading nong kali
kamu menyimpan pisang dari rumah,riko nyimpen gedhang teko umah
bapak melihat air ke bukit,bapak ndeleng byanyu nyang puthuk
kamu mencium kunci ke bukit,riko ngambung kunci nyang puthuk
ibu mencium pisau,mak ngambung lading
mereka mencium nasi di pasar,wong-wong ngambung sego nong pasar
ibu menyapu kunci,mak nyapu kunci
kamu membawa air ke pasar,riko nggowo byanyu nyang pasar
bapak membawa kunci di sungai,bapak nggowo kunci nong kali
dia memukul pisau ke rumah,yane nyampat lading nyang umah
anak mencium buku ke bukit,lare ngambung buku nyang puthuk
aku mengambil air di sungai,isun njuwut byanyu nong kali
nenek memanggil anak di rumah,embyah ngundang lare nong umah
kamu menyapu kunci di bukit,riko nyapu kunci nong puthuk
dia membawa sayur ke pasar,yane nggowo jangan nyang pasar
mereka memukul air di sungai,wong-wong nyampat byanyu nong kali
kamu melihat nasi dari pasar,riko ndeleng sego teko pasar
saya menyimpan nasi,isun nyimpen sego
bapak menyimpan sayur di bukit,bapak nyimpen jangan nong puthuk
ibu melihat pisau dari bukit,mak ndeleng lading teko puthuk
mereka membawa sayur dari bukit,wong-wong nggowo jangan teko puthuk
mereka mengambil pisang ke dapur,wong-wong njuwut gedhang nyang pawon
kamu menyimpan air di dapur,riko nyimpen byanyu nong pawon
bapak memanggil anak di dapur,bapak ngundang lare nong pawon
dia mengambil air di sungai,yane njuwut byanyu nong kali
aku mencium nasi di rumah,isun ngambung sego nong umah
bapak melihat air,bapak ndeleng byanyu
mereka mencium buku dari rumah,wong-wong ngambung buku teko umah
kamu memasak buku di pasar,riko ngolah buku nong pasar
saya melihat pisang ke sungai,isun ndeleng gedhang nyang kali
dia menyapu sayur dari pasar,yane nyapu jangan teko pasar
saya memukul air dari dapur,isun nyampat byanyu teko pawon
mereka mencium air ke dapur,wong-wong ngambung byanyu nyang pawon
nenek memanggil buku dari rumah,embyah ngundang buku teko umah
dia memanggil buku di pasar,yane ngundang buku nong pasar
mereka memasak sayur ke rumah,wong-wong ngolah jangan nyang umah
anak memasak nasi,lare ngolah sego
ibu memasak air dari sungai,mak ngolah byanyu teko kali
mereka memasak anak ke bukit,wong-wong ngolah lare nyang puthuk
aku mencium anak,isun ngambung lare
saya mengambil air dari sungai,isun njuwut byanyu teko kali
nenek menyimpan kunci di rumah,embyah nyimpen kunci nong umah
aku memanggil pisang,isun ngundang gedhang
dia membawa sayur ke sungai,yane nggowo jangan nyang kali
bapak melihat pisang dari rumah,bapak ndeleng gedhang teko umah
nenek mengambil nasi,embyah njuwut sego
ibu mencium pisang di bukit,mak ngambung gedhang nong puthuk
saya melihat sayur dari sungai,isun ndeleng jangan teko kali
ibu memasak air dari bukit,mak ngolah byanyu teko puthuk
anak membawa nasi ke bukit,lare nggowo sego nyang puthuk
kamu memanggil buku ke dapur,riko ngundang buku nyang pawon
mereka memukul nasi,wong-wong nyampat sego
saya mengambil kunci ke dapur,isun njuwut kunci nyang pawon
dia menyimpan bunga di pasar,yane nyimpen kembang nong pasar
mereka memukul anak dari bukit,wong-wong nyampat lare teko puthuk
aku mencium bunga,isun ngambung kembang
dia mengambil pisang dari dapur,yane njuwut gedhang teko pawon
mereka mencium buku,wong-wong ngambung buku
mereka memanggil bunga dari bukit,wong-wong ngundang kembang teko puthuk
nenek memukul sayur di rumah,embyah nyampat jangan nong umah
saya memukul sayur ke sungai,isun nyampat jangan nyang kali
saya memanggil pisau ke bukit,isun ngundang lading nyang puthuk
saya mengambil pisang,isun njuwut gedhang
mereka menyapu kunci di sungai,wong-wong nyapu kunci nong kali
dia menyimpan sayur dari dapur,yane nyimpen jangan teko pawon
ibu membawa nasi,mak nggowo sego
nenek mengambil pisang di dapur,embyah njuwut gedhang nong pawon
saya mengambil sayur di pasar,isun njuwut jangan nong pasar
anak memanggil pisau,lare ngundang lading
aku memanggil anak,isun ngundang lare
mereka mencium sayur,wong-wong ngambung jangan
saya memasak buku dari dapur,isun ngolah buku teko pawon
nenek membawa nasi dari pasar,embyah nggowo sego teko pasar
saya menyimpan sayur ke pasar,isun nyimpen jangan nyang pasar
dia mencium air,yane ngambung byanyu
dia mengambil bunga ke dapur,yane njuwut kembang nyang pawon
dia mencium air,yane ngambung byanyu
nenek menyapu bunga di sungai,embyah nyapu kembang nong kali
anak mengambil sayur,lare njuwut jangan
saya memasak pisang,isun ngolah gedhang
bapak memasak buku di rumah,bapak ngolah buku nong umah
saya memasak sayur di bukit,isun ngolah jangan nong puthuk
bapak memasak air,bapak ngolah byanyu
anak memukul anak di dapur,lare nyampat lare nong pawon
anak memanggil pisang di dapur,lare ngundang gedhang nong pawon
anak menyimpan nasi ke dapur,lare nyimpen sego nyang pawon
anak mengambil pisang di dapur,lare njuwut gedhang nong pawon
anak mengambil sayur,lare njuwut jangan
nenek melihat buku,embyah ndeleng buku
ibu memanggil buku ke dapur,mak ngundang buku nyang pawon
mereka mencium pisang,wong-wong ngambung gedhang
aku membawa pisau dari rumah,isun nggowo lading teko umah
mereka menyapu sayur,wong-wong nyapu jangan
ibu mencium buku di bukit,mak ngambung buku nong puthuk
aku memanggil sayur di dapur,isun ngundang jangan nong pawon
dia mencium pisau di sungai,yane ngambung lading nong kali
mereka memasak nasi dari dapur,wong-wong ngolah sego teko pawon
ibu memukul anak di sungai,mak nyampat lare nong kali
kamu membawa nasi,riko nggowo sego
ibu memasak nasi di rumah,mak ngolah sego nong umah
saya menyapu air di dapur,isun nyapu byanyu nong pawon
saya membawa nasi,isun nggowo sego
bapak memanggil sayur,bapak ngundang jangan
anak menyimpan sayur ke pasar,lare nyimpen jangan nyang pasar
bapak mencium pisang di bukit,bapak ngambung gedhang nong puthuk
kamu melihat pisang di rumah,riko ndeleng gedhang nong umah
nenek melihat air di sungai,embyah ndeleng byanyu nong kali
bapak mengambil pisang di bukit,bapak njuwut gedhang nong puthuk
dia melihat kunci ke pasar,yane ndeleng kunci nyang pasar
bapak membawa nasi dari rumah,bapak nggowo sego teko umah
nenek menyimpan sayur dari bukit,embyah nyimpen jangan teko puthuk
dia menyapu pisang di sungai,yane nyapu gedhang nong kali
bapak membawa sayur dari bukit,bapak nggowo jangan teko puthuk
bapak menyapu air dari pasar,bapak nyapu byanyu teko pasar
aku menyapu pisau ke dapur,isun nyapu lading nyang pawon
mereka memasak air,wong-wong ngolah byanyu
nenek memanggil pisau di pasar,embyah ngundang lading nong pasar
anak menyapu bunga ke bukit,lare nyapu kembang nyang puthuk
kamu memasak nasi dari pasar,riko ngolah sego teko pasar
dia memukul pisau di dapur,yane nyampat lading nong pawon
mereka memasak buku ke pasar,wong-wong ngolah buku nyang pasar
anak memanggil air,lare ngundang byanyu
dia memukul buku ke bukit,yane nyampat buku nyang puthuk
ibu mengambil buku ke pasar,mak njuwut buku nyang pasar
aku melihat buku di sungai,isun ndeleng buku nong kali
mereka memanggil pisang dari dapur,wong-wong ngundang gedhang teko pawon
bapak menyimpan sayur ke rumah,bapak nyimpen jangan nyang umah
nenek melihat bunga,embyah ndeleng kembang
mereka mencium bunga dari pasar,wong-wong ngambung kembang teko pasar
mereka melihat nasi,wong-wong ndeleng sego
kamu menyimpan anak dari sungai,riko nyimpen lare teko kali
mereka memanggil sayur di sungai,wong-wong ngundang jangan nong kali
mereka membawa pisang,wong-wong nggowo gedhang
aku menyimpan anak dari rumah,isun nyimpen lare teko umah
saya menyimpan sayur ke dapur,isun nyimpen jangan nyang pawon
ibu mengambil kunci ke pasar,mak njuwut kunci nyang pasar
dia mengambil buku ke rumah,yane njuwut buku nyang umah
dia memukul anak dari rumah,yane nyampat lare teko umah
kamu mencium pisang ke pasar,riko ngambung gedhang nyang pasar
saya melihat kunci dari dapur,isun ndeleng kunci teko pawon
ibu menyapu kunci,mak nyapu kunci
dia memukul pisang dari sungai,yane nyampat gedhang teko kali
saya membawa buku di dapur,isun nggowo buku nong pawon
kamu memukul pisang dari bukit,riko nyampat gedhang teko puthuk
bapak membawa bunga ke sungai,bapak nggowo kembang nyang kali
anak membawa buku,lare nggowo buku
nenek memanggil bunga,embyah ngundang kembang
nenek mengambil nasi di rumah,embyah njuwut sego nong umah
mereka memukul buku dari bukit,wong-wong nyampat buku teko puthuk
dia memasak nasi dari rumah,yane ngolah sego teko umah
saya menyapu pisang,isun nyapu gedhang
saya memasak nasi di pasar,isun ngolah sego nong pasar
ibu membawa pisau di pasar,mak nggowo lading nong pasar
bapak menyimpan bunga ke bukit,bapak nyimpen kembang nyang puthuk
aku menyapu pisau di pasar,isun nyapu lading nong pasar
saya membawa anak,isun nggowo lare
aku memanggil air dari pasar,isun ngundang byanyu teko pasar
saya mencium sayur di bukit,isun ngambung jangan nong puthuk
aku menyapu sayur,isun nyapu jangan
kamu melihat kunci,riko ndeleng kunci
aku memasak kunci ke pasar,isun ngolah kunci nyang pasar
anak membawa bunga dari pasar,lare nggowo kembang teko pasar
nenek memanggil pisau di pasar,embyah ngundang lading nong pasar
bapak menyapu pisang di dapur,bapak nyapu gedhang nong pawon
saya mengambil pisang,isun njuwut gedhang
ibu memanggil air ke pasar,mak ngundang byanyu nyang pasar
ibu mengambil pisang dari rumah,mak njuwut gedhang teko umah
aku memasak sayur dari sungai,isun ngolah jangan teko kali
mereka mencium buku,wong-wong ngambung buku
aku mencium sayur di sungai,isun ngambung jangan nong kali
aku menyapu pisau dari rumah,isun nyapu lading teko umah
aku menyimpan pisang,isun nyimpen gedhang
kamu memanggil pisang di pasar,riko ngundang gedhang nong pasar
mereka menyapu anak dari sungai,wong-wong nyapu lare teko kali
nenek membawa nasi di pasar,embyah nggowo sego nong pasar
nenek melihat sayur di sungai,embyah ndeleng jangan nong kali
anak memasak kunci,lare ngolah kunci
dia memanggil bunga dari pasar,yane ngundang kembang teko pasar
bapak menyimpan bunga,bapak nyimpen kembang
bapak menyimpan pisang di pasar,bapak nyimpen gedhang nong pasar
aku memasak kunci,isun ngolah kunci
saya menyapu pisang di dapur,isun nyapu gedhang nong pawon
anak membawa kunci di dapur,lare nggowo kunci nong pawon
aku mengambil pisang ke pasar,isun njuwut gedhang nyang pasar
bapak memanggil bunga di dapur,bapak ngundang kembang nong pawon
anak membawa pisang dari pasar,lare nggowo gedhang teko pasar
nenek memasak kunci dari pasar,embyah ngolah kunci teko pasar
dia membawa nasi,yane nggowo sego
anak mencium pisang ke sungai,lare ngambung gedhang nyang kali
saya membawa bunga ke rumah,isun nggowo kembang nyang umah
aku mencium buku,isun ngambung buku
bapak mencium air ke pasar,bapak ngambung byanyu nyang pasar
saya memasak sayur dari dapur,isun ngolah jangan teko pawon
mereka menyimpan nasi di rumah,wong-wong nyimpen sego nong umah
saya membawa kunci dari sungai,isun nggowo kunci teko kali
aku memukul buku dari sungai,isun nyampat buku teko kali
dia membawa bunga ke rumah,yane nggowo kembang nyang umah
dia menyimpan bunga ke pasar,yane nyimpen kembang nyang pasar
dia mencium sayur di bukit,yane ngambung jangan nong puthuk
aku menyapu pisang di pasar,isun nyapu gedhang nong pasar
dia menyapu kunci,yane nyapu kunci
anak menyimpan air ke sungai,lare nyimpen byanyu nyang kali
ibu mengambil buku,mak njuwut buku
nenek menyapu nasi,embyah nyapu sego
bapak memasak nasi ke sungai,bapak ngolah sego nyang kali
dia memanggil pisau di bukit,yane ngundang lading nong puthuk
kamu membawa nasi di bukit,riko nggowo sego nong puthuk
saya membawa pisang di dapur,isun nggowo gedhang nong pawon
mereka menyimpan nasi dari sungai,wong-wong nyimpen sego teko kali
nenek menyimpan kunci dari pasar,embyah nyimpen kunci teko pasar
mereka melihat buku,wong-wong ndeleng buku
anak memanggil air dari bukit,lare ngundang byanyu teko puthuk
kamu menyapu sayur ke pasar,riko nyapu jangan nyang pasar
kamu melihat pisang ke bukit,riko ndeleng gedhang nyang puthuk
anak menyimpan sayur dari dapur,lare nyimpen jangan teko pawon
ibu menyapu kunci,mak nyapu kunci
kamu menyimpan anak,riko nyimpen lare
mereka melihat anak di bukit,wong-wong ndeleng lare nong puthuk
nenek memasak pisang ke sungai,embyah ngolah gedhang nyang kali
anak mengambil pisang dari sungai,lare njuwut gedhang teko kali
dia melihat kunci dari sungai,yane ndeleng kunci teko kali
dia menyimpan bunga ke sungai,yane nyimpen kembang nyang kali
anak membawa air di sungai,lare nggowo byanyu nong kali
bapak menyimpan kunci di bukit,bapak nyimpen kunci nong puthuk
ibu menyapu kunci,mak nyapu kunci
ibu mencium nasi di pasar,mak ngambung sego nong pasar
ibu mengambil bunga di rumah,mak njuwut kembang nong umah
dia membawa kunci di bukit,yane nggowo kunci nong puthuk
ibu mencium kunci dari pasar,mak ngambung kunci teko pasar
ibu mengambil sayur di rumah,mak njuwut jangan nong umah
ibu memukul pisau ke sungai,mak nyampat lading nyang kali
saya melihat pisau di pasar,isun ndeleng lading nong pasar
saya mengambil buku ke sungai,isun njuwut buku nyang kali
ibu mencium nasi di rumah,mak ngambung sego nong umah
saya melihat nasi ke pasar,isun ndeleng sego nyang pasar
bapak memukul bunga ke bukit,bapak nyampat kembang nyang puthuk
ibu menyapu bunga dari bukit,mak nyapu kembang teko puthuk
ibu mencium sayur di rumah,mak ngambung jangan nong umah
anak memasak pisau dari pasar,lare ngolah lading teko pasar
aku memukul bunga,isun nyampat kembang
dia melihat pisang ke bukit,yane ndeleng gedhang nyang puthuk
anak mengambil pisau ke sungai,lare njuwut lading nyang kali
bapak memasak anak di dapur,bapak ngolah lare nong pawon
kamu memasak pisau di dapur,riko ngolah lading nong pawon
saya memukul air dari pasar,isun nyampat byanyu teko pasar
dia mencium sayur,yane ngambung jangan
kamu menyapu pisang,riko nyapu gedhang
saya melihat pisang,isun ndeleng gedhang
dia melihat buku di pasar,yane ndeleng buku nong pasar
mereka mengambil anak ke pasar,wong-wong njuwut lare nyang pasar
saya melihat pisang dari sungai,isun ndeleng gedhang teko kali
saya menyapu air ke rumah,isun nyapu byanyu nyang umah
kamu mencium pisau,riko ngambung lading
bapak menyimpan sayur dari sungai,bapak nyimpen jangan teko kali
anak menyapu air,lare nyapu byanyu
saya membawa bunga ke dapur,isun nggowo kembang nyang pawon
mereka memanggil pisau di pasar,wong-wong ngundang lading nong pasar
anak menyimpan pisang,lare nyimpen gedhang
bapak memasak sayur ke pasar,bapak ngolah jangan nyang pasar
mereka membawa nasi,wong-wong nggowo sego
saya menyapu kunci dari rumah,isun nyapu kunci teko umah
nenek membawa anak ke pasar,embyah nggowo lare nyang pasar
ibu memukul buku dari dapur,mak nyampat buku teko pawon
mereka melihat nasi ke dapur,wong-wong ndeleng sego nyang pawon
dia mengambil bunga di rumah,yane njuwut kembang nong umah
dia menyapu bunga dari sungai,yane nyapu kembang teko kali
aku memasak pisau ke rumah,isun ngolah lading nyang umah
ibu membawa kunci,mak nggowo kunci
ibu membawa pisang ke pasar,mak nggowo gedhang nyang pasar
bapak menyapu kunci di sungai,bapak nyapu kunci nong kali
saya menyapu anak dari dapur,isun nyapu lare teko pawon
mereka menyapu bunga,wong-wong nyapu kembang
kamu melihat nasi ke pasar,riko ndeleng sego nyang pasar
saya mengambil pisau,isun njuwut lading
aku memanggil anak ke rumah,isun ngundang lare nyang umah
aku menyimpan buku dari sungai,isun nyimpen buku teko kali
kamu memukul pisang,riko nyampat gedhang
aku mencium pisang dari rumah,isun ngambung gedhang teko umah
kamu memasak pisau ke dapur,riko ngolah lading nyang pawon
anak memanggil kunci di sungai,lare ngundang kunci nong kali
kamu memanggil nasi,riko ngundang sego
dia memasak buku,yane ngolah buku
ibu melihat sayur di rumah,mak ndeleng jangan nong umah
dia menyapu anak,yane nyapu lare
nenek memukul bunga di bukit,embyah nyampat kembang nong puthuk
aku memukul buku,isun nyampat buku
anak menyimpan kunci dari dapur,lare nyimpen kunci teko pawon
nenek menyimpan nasi dari pasar,embyah nyimpen sego teko pasar
nenek membawa pisang ke rumah,embyah nggowo gedhang nyang umah
dia membawa air dari rumah,yane nggowo byanyu teko umah
dia memanggil bunga dari sungai,yane ngundang kembang teko kali
aku memukul pisang dari dapur,isun nyampat gedhang teko pawon
anak menyimpan kunci ke dapur,lare nyimpen kunci nyang pawon
anak membawa kunci di sungai,lare nggowo kunci nong kali
ibu membawa buku ke bukit,mak nggowo buku nyang puthuk
bapak memasak buku,bapak ngolah buku
kamu memukul air ke pasar,riko nyampat byanyu nyang pasar
aku menyapu kunci dari sungai,isun nyapu kunci teko kali
anak mengambil buku ke pasar,lare njuwut buku nyang pasar
ibu membawa nasi di dapur,mak nggowo sego nong pawon
ibu mencium sayur di bukit,mak ngambung jangan nong puthuk
mereka memanggil pisang dari dapur,wong-wong ngundang gedhang teko pawon
bapak melihat pisau ke sungai,bapak ndeleng lading nyang kali
bapak menyimpan buku di pasar,bapak nyimpen buku nong pasar
bapak mengambil bunga ke dapur,bapak njuwut kembang nyang pawon
mereka menyapu buku dari pasar,wong-wong nyapu buku teko pasar
anak memasak kunci dari sungai,lare ngolah kunci teko kali
ibu memasak pisau,mak ngolah lading
kamu mencium buku,riko ngambung buku
aku menyapu kunci ke rumah,isun nyapu kunci nyang umah
saya menyapu bunga ke rumah,isun nyapu kembang nyang umah
mereka memanggil anak ke rumah,wong-wong ngundang lare nyang umah
kamu menyimpan sayur di dapur,riko nyimpen jangan nong pawon
dia memanggil air,yane ngundang byanyu
aku memasak sayur ke rumah,isun ngolah jangan nyang umah
anak memukul kunci ke sungai,lare nyampat kunci nyang kali
dia menyimpan pisang di pasar,yane nyimpen gedhang nong pasar
aku mencium anak,isun ngambung lare
mereka mencium pisang di bukit,wong-wong ngambung gedhang nong puthuk
aku mengambil sayur ke dapur,isun njuwut jangan nyang pawon
saya memukul anak,isun nyampat lare
bapak menyimpan bunga dari sungai,bapak nyimpen kembang teko kali
kamu membawa pisang dari rumah,riko nggowo gedhang teko umah
saya mengambil pisang ke sungai,isun njuwut gedhang nyang kali
bapak memasak anak dari sungai,bapak ngolah lare teko kali
kamu memukul anak dari dapur,riko nyampat lare teko pawon
nenek mencium anak di sungai,embyah ngambung lare nong kali
dia menyimpan pisang,yane nyimpen gedhang
